index,region,y1,y2,y3,y4,y5,y6
2016-05-31 23:00:00,1075,26.0,14.0,5.0,2.0,1.0,7.0
2016-05-31 23:00:00,1076,30.0,21.0,25.0,5.0,8.0,31.0
2016-05-31 23:00:00,1077,19.0,6.0,4.0,3.0,3.0,17.0
2016-05-31 23:00:00,1125,39.0,26.0,18.0,4.0,6.0,8.0
2016-05-31 23:00:00,1126,71.0,49.0,25.0,16.0,26.0,43.0
2016-05-31 23:00:00,1127,163.0,101.0,42.0,36.0,27.0,51.0
2016-05-31 23:00:00,1128,181.0,136.0,74.0,36.0,46.0,59.0
2016-05-31 23:00:00,1129,219.0,144.0,123.0,85.0,54.0,76.0
2016-05-31 23:00:00,1130,326.0,252.0,245.0,241.0,129.0,50.0
2016-05-31 23:00:00,1131,56.0,27.0,30.0,24.0,11.0,18.0
2016-05-31 23:00:00,1132,3.0,6.0,7.0,5.0,4.0,1.0
2016-05-31 23:00:00,1172,7.0,2.0,1.0,0.0,1.0,5.0
2016-05-31 23:00:00,1173,6.0,7.0,6.0,0.0,7.0,17.0
2016-05-31 23:00:00,1174,14.0,7.0,4.0,3.0,6.0,20.0
2016-05-31 23:00:00,1175,5.0,3.0,0.0,0.0,1.0,5.0
2016-05-31 23:00:00,1176,15.0,25.0,4.0,2.0,1.0,0.0
2016-05-31 23:00:00,1177,245.0,173.0,120.0,91.0,44.0,29.0
2016-05-31 23:00:00,1178,279.0,198.0,115.0,68.0,53.0,55.0
2016-05-31 23:00:00,1179,243.0,126.0,90.0,62.0,55.0,100.0
2016-05-31 23:00:00,1180,225.0,104.0,81.0,53.0,58.0,109.0
2016-05-31 23:00:00,1181,258.0,150.0,106.0,43.0,96.0,320.0
2016-05-31 23:00:00,1182,240.0,138.0,99.0,93.0,120.0,178.0
2016-05-31 23:00:00,1183,31.0,21.0,20.0,13.0,10.0,14.0
2016-05-31 23:00:00,1184,2.0,1.0,1.0,0.0,2.0,8.0
2016-05-31 23:00:00,1221,8.0,4.0,4.0,1.0,0.0,0.0
2016-05-31 23:00:00,1222,10.0,7.0,2.0,1.0,2.0,3.0
2016-05-31 23:00:00,1223,16.0,11.0,7.0,6.0,6.0,8.0
2016-05-31 23:00:00,1224,19.0,12.0,6.0,9.0,10.0,8.0
2016-05-31 23:00:00,1225,2.0,1.0,2.0,0.0,0.0,2.0
2016-05-31 23:00:00,1227,165.0,115.0,61.0,45.0,41.0,31.0
2016-05-31 23:00:00,1228,220.0,185.0,163.0,119.0,98.0,91.0
2016-05-31 23:00:00,1229,229.0,149.0,67.0,51.0,48.0,125.0
2016-05-31 23:00:00,1230,313.0,208.0,136.0,80.0,64.0,137.0
2016-05-31 23:00:00,1231,435.0,211.0,124.0,95.0,83.0,137.0
2016-05-31 23:00:00,1232,559.0,351.0,216.0,147.0,159.0,109.0
2016-05-31 23:00:00,1233,251.0,111.0,60.0,57.0,50.0,75.0
2016-05-31 23:00:00,1234,89.0,64.0,19.0,22.0,30.0,75.0
2016-05-31 23:00:00,1235,30.0,20.0,8.0,12.0,9.0,47.0
2016-05-31 23:00:00,1272,9.0,4.0,2.0,2.0,2.0,2.0
2016-05-31 23:00:00,1273,14.0,8.0,5.0,1.0,1.0,0.0
2016-05-31 23:00:00,1274,5.0,2.0,0.0,2.0,0.0,2.0
2016-05-31 23:00:00,1278,3.0,3.0,5.0,1.0,3.0,6.0
2016-05-31 23:00:00,1279,6.0,3.0,1.0,2.0,4.0,7.0
2016-05-31 23:00:00,1280,43.0,44.0,24.0,12.0,28.0,41.0
2016-05-31 23:00:00,1281,378.0,175.0,98.0,77.0,74.0,129.0
2016-05-31 23:00:00,1282,425.0,239.0,129.0,71.0,73.0,112.0
2016-05-31 23:00:00,1283,48.0,14.0,8.0,2.0,10.0,26.0
2016-05-31 23:00:00,1284,8.0,12.0,4.0,2.0,3.0,18.0
2016-05-31 23:00:00,1285,79.0,42.0,26.0,11.0,30.0,60.0
2016-05-31 23:00:00,1286,67.0,48.0,26.0,16.0,26.0,59.0
2016-05-31 23:00:00,1287,24.0,14.0,13.0,5.0,6.0,25.0
2016-05-31 23:00:00,1326,27.0,24.0,16.0,6.0,13.0,3.0
2016-05-31 23:00:00,1327,41.0,19.0,9.0,5.0,1.0,2.0
2016-05-31 23:00:00,1331,11.0,4.0,4.0,4.0,2.0,8.0
2016-05-31 23:00:00,1332,104.0,58.0,41.0,35.0,43.0,100.0
2016-05-31 23:00:00,1333,99.0,57.0,35.0,23.0,39.0,144.0
2016-05-31 23:00:00,1334,72.0,44.0,16.0,6.0,16.0,124.0
2016-05-31 23:00:00,1335,9.0,6.0,1.0,2.0,3.0,17.0
2016-05-31 23:00:00,1336,16.0,8.0,5.0,4.0,5.0,16.0
2016-05-31 23:00:00,1337,39.0,27.0,16.0,11.0,11.0,30.0
2016-05-31 23:00:00,1338,18.0,16.0,6.0,4.0,6.0,14.0
2016-05-31 23:00:00,1339,5.0,1.0,5.0,7.0,0.0,4.0
2016-05-31 23:00:00,1376,17.0,13.0,13.0,9.0,6.0,2.0
2016-05-31 23:00:00,1377,11.0,8.0,6.0,4.0,2.0,2.0
2016-05-31 23:00:00,1378,10.0,9.0,2.0,1.0,3.0,3.0
2016-05-31 23:00:00,1380,10.0,7.0,2.0,3.0,4.0,2.0
2016-05-31 23:00:00,1382,12.0,7.0,7.0,4.0,4.0,3.0
2016-05-31 23:00:00,1383,34.0,25.0,10.0,14.0,25.0,73.0
2016-05-31 23:00:00,1384,115.0,70.0,40.0,28.0,57.0,151.0
2016-05-31 23:00:00,1385,43.0,22.0,14.0,24.0,33.0,94.0
2016-05-31 23:00:00,1386,23.0,14.0,6.0,4.0,5.0,33.0
2016-05-31 23:00:00,1387,10.0,18.0,7.0,6.0,11.0,17.0
2016-05-31 23:00:00,1388,17.0,18.0,11.0,9.0,9.0,12.0
2016-05-31 23:00:00,1389,13.0,7.0,2.0,1.0,5.0,6.0
2016-05-31 23:00:00,1390,12.0,3.0,8.0,5.0,7.0,6.0
2016-05-31 23:00:00,1426,20.0,7.0,4.0,4.0,2.0,1.0
2016-05-31 23:00:00,1431,14.0,12.0,11.0,15.0,13.0,13.0
2016-05-31 23:00:00,1434,1.0,2.0,0.0,0.0,0.0,3.0
2016-05-31 23:00:00,1435,1.0,5.0,5.0,0.0,5.0,1.0
2016-05-31 23:00:00,1436,15.0,22.0,6.0,7.0,11.0,27.0
2016-05-31 23:00:00,1437,14.0,8.0,13.0,7.0,7.0,26.0
2016-05-31 23:00:00,1438,6.0,5.0,3.0,0.0,4.0,7.0
2016-05-31 23:00:00,1439,3.0,3.0,2.0,7.0,1.0,3.0
2016-05-31 23:00:00,1441,4.0,8.0,1.0,0.0,1.0,1.0
2016-05-31 23:00:00,1442,2.0,2.0,0.0,0.0,1.0,1.0
2016-05-31 23:00:00,1480,3.0,6.0,3.0,7.0,8.0,7.0
2016-05-31 23:00:00,1482,13.0,9.0,8.0,6.0,7.0,10.0
2016-05-31 23:00:00,1483,5.0,4.0,3.0,1.0,4.0,13.0
2016-05-31 23:00:00,1530,7.0,3.0,5.0,4.0,7.0,12.0
2016-05-31 23:00:00,1532,10.0,9.0,7.0,8.0,10.0,8.0
2016-05-31 23:00:00,1533,6.0,8.0,11.0,4.0,8.0,7.0
2016-05-31 23:00:00,1580,4.0,3.0,4.0,3.0,5.0,8.0
2016-05-31 23:00:00,1630,1.0,5.0,8.0,7.0,4.0,5.0
2016-05-31 23:00:00,1684,1.0,0.0,0.0,0.0,0.0,0.0
2016-05-31 23:00:00,1733,6.0,0.0,1.0,1.0,0.0,0.0
2016-05-31 23:00:00,1734,262.0,137.0,25.0,44.0,0.0,9.0
2016-05-31 23:00:00,1783,107.0,1.0,0.0,0.0,2.0,3.0
2016-05-31 23:00:00,2068,114.0,27.0,11.0,13.0,23.0,13.0
2016-05-31 23:00:00,2069,7.0,16.0,0.0,4.0,3.0,0.0
2016-05-31 23:00:00,2118,169.0,105.0,31.0,51.0,33.0,78.0
2016-05-31 23:00:00,2119,6.0,4.0,0.0,1.0,3.0,4.0
2016-05-31 23:00:00,2168,85.0,42.0,10.0,0.0,1.0,59.0
2016-06-01 00:00:00,1075,14.0,5.0,2.0,1.0,7.0,23.0
2016-06-01 00:00:00,1076,21.0,25.0,5.0,8.0,31.0,54.0
2016-06-01 00:00:00,1077,6.0,4.0,3.0,3.0,17.0,78.0
2016-06-01 00:00:00,1125,26.0,18.0,4.0,6.0,8.0,41.0
2016-06-01 00:00:00,1126,49.0,25.0,16.0,26.0,43.0,108.0
2016-06-01 00:00:00,1127,101.0,42.0,36.0,27.0,51.0,126.0
2016-06-01 00:00:00,1128,136.0,74.0,36.0,46.0,59.0,121.0
2016-06-01 00:00:00,1129,144.0,123.0,85.0,54.0,76.0,231.0
2016-06-01 00:00:00,1130,252.0,245.0,241.0,129.0,50.0,127.0
2016-06-01 00:00:00,1131,27.0,30.0,24.0,11.0,18.0,54.0
2016-06-01 00:00:00,1132,6.0,7.0,5.0,4.0,1.0,12.0
2016-06-01 00:00:00,1172,2.0,1.0,0.0,1.0,5.0,9.0
2016-06-01 00:00:00,1173,7.0,6.0,0.0,7.0,17.0,32.0
2016-06-01 00:00:00,1174,7.0,4.0,3.0,6.0,20.0,41.0
2016-06-01 00:00:00,1175,3.0,0.0,0.0,1.0,5.0,17.0
2016-06-01 00:00:00,1176,25.0,4.0,2.0,1.0,0.0,3.0
2016-06-01 00:00:00,1177,173.0,120.0,91.0,44.0,29.0,58.0
2016-06-01 00:00:00,1178,198.0,115.0,68.0,53.0,55.0,158.0
2016-06-01 00:00:00,1179,126.0,90.0,62.0,55.0,100.0,270.0
2016-06-01 00:00:00,1180,104.0,81.0,53.0,58.0,109.0,321.0
2016-06-01 00:00:00,1181,150.0,106.0,43.0,96.0,320.0,1040.0
2016-06-01 00:00:00,1182,138.0,99.0,93.0,120.0,178.0,619.0
2016-06-01 00:00:00,1183,21.0,20.0,13.0,10.0,14.0,68.0
2016-06-01 00:00:00,1184,1.0,1.0,0.0,2.0,8.0,42.0
2016-06-01 00:00:00,1221,4.0,4.0,1.0,0.0,0.0,1.0
2016-06-01 00:00:00,1222,7.0,2.0,1.0,2.0,3.0,6.0
2016-06-01 00:00:00,1223,11.0,7.0,6.0,6.0,8.0,11.0
2016-06-01 00:00:00,1224,12.0,6.0,9.0,10.0,8.0,17.0
2016-06-01 00:00:00,1225,1.0,2.0,0.0,0.0,2.0,4.0
2016-06-01 00:00:00,1227,115.0,61.0,45.0,41.0,31.0,52.0
2016-06-01 00:00:00,1228,185.0,163.0,119.0,98.0,91.0,175.0
2016-06-01 00:00:00,1229,149.0,67.0,51.0,48.0,125.0,348.0
2016-06-01 00:00:00,1230,208.0,136.0,80.0,64.0,137.0,392.0
2016-06-01 00:00:00,1231,211.0,124.0,95.0,83.0,137.0,328.0
2016-06-01 00:00:00,1232,351.0,216.0,147.0,159.0,109.0,210.0
2016-06-01 00:00:00,1233,111.0,60.0,57.0,50.0,75.0,261.0
2016-06-01 00:00:00,1234,64.0,19.0,22.0,30.0,75.0,208.0
